Number,Plant name,Status,Taxon_name_accepted,Authors_accepted,IPNI_accepted,Binomial_clean_accepted,Origine,Cultivated_2015_Mali,Codes_Origine
68,Vitex barbata,Synonym,Vitex madiensis,Oliv.,865856-1,Vitex madiensis,Locale,0,1
69,Vitex doniana,Accepted,Vitex doniana,Sweet,865694-1,Vitex doniana,Locale,0,1
70,Ximenia americana,Accepted,Ximenia americana,L.,316341-2,Ximenia americana,Locale,0,1
71,Ziziphus mauritiana,Accepted,Ziziphus mauritiana,Lam.,719349-1,Ziziphus mauritiana,Locale,1,1
72,Ziziphus mucronata,Accepted,Ziziphus mucronata,Willd.,719359-1,Ziziphus mucronata,Locale,0,1
73,Eggplant,Common name,Solanum,L.,30000630-2,NA,Exotique potagère,1,2
74,Beet,Common name,Beta vulgaris,L.,164505-1,Beta vulgaris,Exotique potagère,1,2
75,Carrot,Common name,Daucus carota,L.,841063-1,Daucus carota,Exotique potagère,1,2
76,Cabbage,Common name,Brassica oleracea,L.,279435-1,Brassica oleracea,Exotique potagère,1,2
77,Lettuce,Common name,Lactuca sativa,L.,228239-1,Lactuca sativa,Exotique potagère,1,2
78,Cassava,Common name,Manihot esculenta,Crantz,351790-1,Manihot esculenta,Exotique tubercule,1,2
79,Onion,Common name,Allium cepa,L.,527795-1,Allium cepa,Exotique potagère,1,2
80,Yam,Common name,Dioscorea,Plum. ex L.,328349-2,NA,Exotique tubercule,1,2
81,Pepper,Common name,Capsicum,L.,30006872-2,NA,Exotique potagère,1,2
82,Bell pepper,Common name,Capsicum annuum,L.,316944-2,Capsicum annuum,Exotique potagère,1,2
83,Potato,Common name,Solanum tuberosum,L.,821337-1,Solanum tuberosum,Exotique tubercule,1,2
84,Tomato,Common name,Solanum lycopersicum,L.,316947-2,Solanum lycopersicum,Exotique potagère,1,2
85,Guava,Common name,Psidium guajava,L.,600841-1,Psidium guajava,Exotique fruitière,1,2
